,job_title,salary
4845,Агуулахын туслах,"1,200,000 - 1,500,000"
4846,ХАБЭАлбаны дарга,"2,100,000 - 2,500,000"
4847,Жолооч (Захиргааны хэлтэст),"1,500,000 - 1,800,000"
4848,Материалын инженер,"3,000,000 - 4,000,000"
4849,Захирлын туслах /Тимус Фарма ХХК/,"1,500,000 - 1,800,000"
4850,"Туслах ажилтнууд /Геодези, талбай, лаборатори/","1,200,000 - 1,500,000"
4851,Тээвэр борлуулалтын менежер,"1,500,000 - 1,800,000"
4852,Гадаад харилцааны менежер /Англи хэлтэй/,"1,500,000 - 1,800,000"
4853,"Химич, Гадаад харилцааны менежер","1,500,000 - 1,800,000"
4854,Нягтлан бодогч,"1,800,000 - 2,100,000"
4855,Маркетингийн менежер,"1,500,000 - 1,800,000"
4856,Захиргааны ажилтан,"1,200,000 - 1,500,000 Тохиролцоно"
4857,Усны машины жолооч,"1,500,000 - 1,800,000"
4858,Үйлчлэгч /ТЭЦ4 хажуу агуулах-д /,"1,000,000 - 1,200,000"
4859,Индүүний оператор,"2,100,000 - 2,500,000"
4860,ДИСПЕТЧЕР,"1,200,000 - 1,500,000"
4861,Диспетчер,"1,200,000 - 1,500,000 Тохиролцоно"
4862,Үйлдвэрт үйлчлэгч,"600,000 - 800,000"
4863,Нарийн боовчин/Алтай хотхоны нарны гүүрний хажууд/,"1,000,000 - 1,200,000"
4864,Худалдааны зөвлөх,"1,000,000 - 1,200,000"
4865,ХӨДӨЛМӨР АЮУЛГҮЙ БАЙДАЛ ЭРҮҮЛ АХУЙН МЕНЕЖЕР,"1,000,000 - 1,200,000"
4866,Нарийн боовчин/Төв үйлдвэрт/,"800,000 - 1,000,000"
4867,Хүний нөөцийн мэргэжилтэн,"1,000,000 - 1,200,000"
4868,Эдийн засагч,"1,800,000 - 2,100,000 Тохиролцоно"
4869,Хөтөч бүртгэл мэдээллийн ажилтан,"1,000,000 - 1,200,000"
4870,Дуудлагын оператор,"1,000,000 - 1,200,000"
4871,Үйлчлэгч/Асрагч ажилд авна,"800,000 - 1,000,000"
4872,ТОГООЧ,"1,500,000 - 1,800,000"
4873,Тооцооны нягтлан бодогч,"1,800,000 - 2,100,000"
4874,Жолооч,"1,200,000 - 1,500,000"
4875,ДИЗАЙНЕР,"1,200,000 - 1,500,000"
4876,Хамгаалагч -УБ Нефть баазад,"800,000 - 1,000,000 Тохиролцоно"
4877,Материалын инженер,"3,000,000 - 4,000,000"
4878,Харилцагчийн үйлчилгээний мэргэжилтэн,"1,500,000 - 1,800,000"
4879,БҮС ХАРИУЦСАН МЕНЕЖЕР,"2,100,000 - 2,500,000"
4880,АВТОГРЕЙДЕРЫН ОПЕРАТОР,"3,000,000 - 4,000,000 Тохиролцоно"
4881,Хятад   зах зээл хариуцсан менежер,"1,200,000 - 1,500,000"
4882,Хувьдаа машинтай мерчиндайзинг,"1,000,000 - 1,200,000"
4883,ДЭЛГҮҮРИЙН МЕНЕЖЕР /Төв аймаг/,"2,100,000 - 2,500,000"
4884,ХЯТАД ХЭЛНИЙ ОРЧУУЛАГЧ,"1,800,000 - 2,100,000"
4885,"ДЭЛГҮҮРИЙН МЕНЕЖЕР /Нисэх, Яармаг/","2,100,000 - 2,500,000"
4886,Нярав/Хөдөө ажиллах/,"1,800,000 - 2,100,000"
4887,НЯРАВ /түлш тос /,"1,800,000 - 2,100,000"
4888,Ковшын оператор,"2,100,000 - 2,500,000"
4889,АВТЫН ЗАВСАРЧИН,"2,100,000 - 2,500,000"
4890,Financial Analyst,"1,000,000 - 1,200,000"
4891,Экскаваторын оператор,"2,500,000 - 3,000,000"
4892,Чанар хяналтын инженер /Pipeline PE/,"2,500,000 - 3,000,000"
4893,Үйл ажиллагааны менежер,"1,500,000 - 1,800,000"
4894,САГСТАЙ ӨРГӨГЧИЙН ОПЕРАТОР /ОТ/,"1,800,000 - 2,100,000"
4895,Мэс заслын эмч,"2,100,000 - 2,500,000 Тохиролцоно"
4896,Захиалгын менежер /англи хэлтэй/,"1,200,000 - 1,500,000"
4897,Вэб хөгжүүлэгч,"3,000,000 - 4,000,000"
4898,Fullstack developer,"4,000,000 - 5,000,000"
4899,НЯРАВ АЖИЛД АВНА. (Шинэ төгсөгч байж болно),"1,500,000 - 1,800,000"
4900,Аялал захиалгын менежер /Хятад хэлтэй/,"1,200,000 - 1,500,000"
4901,Техник ашиглалтын инженер, Тохиролцоно
4902,Хагас цагаар ажиллах ЭМ ЗҮЙЧ,"800,000 - 1,000,000"
4903,Буудлын захиалгын менежер,"1,500,000 - 1,800,000"
4904,Маркетингийн менежер /хүйс харгалзахгүй/,"1,800,000 - 2,100,000"
4905,Тооцооны нягтлан бодогч /цалин/,"1,500,000 - 1,800,000"
4906,ДЭЛГҮҮРИЙН МЕНЕЖЕР /Хан-Уул дүүрэг/,"2,100,000 - 2,500,000"
4907,Оффис менежер / Гарааны Эс Ти Эс Фүүдс / ХХК1.Ажлы,"1,200,000 - 1,500,000"
4908,Ахлах  нягтлан бодогч,"1,800,000 - 2,100,000"
4909,Гадаад харилцааны менежер,"1,800,000 - 2,100,000 Тохиролцоно"
4910,Хүнсний үйлдвэрт дамжлагын ажилтан ажилд авна.,"1,500,000 - 1,800,000"
4911,"МТ үндсэн систем, үйлчилгээ удирдлагын газарт Аппликешн инженер", Тохиролцоно
4912,КЕМПИЙН ЭМЧ (15/15),"1,500,000 - 1,800,000"
4913,Замын-үүд PC mall-худалдааны зөвлөх,"800,000 - 1,000,000"
4914,САВЛАГЧ /ЭМЭГТЭЙ/,"1,000,000 - 1,200,000"
4915,Сувилагч ажилд авна,"1,200,000 - 1,500,000"
4916,Нярав ажилд авна,"1,200,000 - 1,500,000"
4917,Бүртгэл мэдээллийн ажилтан,"1,200,000 - 1,500,000"
4918,БОРЛУУЛАЛТЫН МЕНЕЖЕР /2 хүн/,"1,500,000 - 1,800,000"
4919,МЭДЭЭЛЭЛИЙН ТЕХНОЛОГИЙН ИНЖЕНЕР /ТЭСО ХХК/,"1,500,000 - 1,800,000"
4920,Хөргөлтийн Инженер,"2,100,000 - 2,500,000"
4921,"Хүний нөөцийн ажилтан, бичиг хэрэг","2,500,000 - 3,000,000"
4922,Төмөр замын зохицуулагч /хуучин 22 товчоо/,"1,500,000 - 1,800,000"
4923,ХУДАЛДААНЫ ТУСЛАХ (Автомашин),"1,500,000 - 1,800,000"
4924,Барилгын туслах ажилчин,"1,500,000 - 1,800,000 Тохиролцоно"
4925,"Засварчин, автын цахилгаанчин","1,500,000 - 1,800,000 Тохиролцоно"
4926,БОРЛУУЛАЛТЫН МЕНЕЖЕР /2 хүн/,"1,500,000 - 1,800,000"
4927,Ахлах нягтлан бодогч,"2,500,000 - 3,000,000 Тохиролцоно"
4928,Маркетинг менежер,"1,500,000 - 1,800,000 Тохиролцоно"
4929,Хүний нөөцийн менежер,"2,100,000 - 2,500,000"
4930,ДАМПЫН ОПЕРАТОР,"1,800,000 - 2,100,000"
4931,Нягтлан бодогч,"1,500,000 - 1,800,000"
4932,Савлах цехийн шугамын ажилтан,"1,200,000 - 1,500,000"
4933,Сургалт хариуцсан мэргэжилтэн,"1,800,000 - 2,100,000 Тохиролцоно"
4934,Харилцагчийн үйлчилгээ хариуцсан мэргэжилтэн,"1,800,000 - 2,100,000 Тохиролцоно"
4935,Үйлдвэрийн дарга,"2,500,000 - 3,000,000"
4936,Агуулахын туслах ажилтан,"1,000,000 - 1,200,000"
4937,Үйлчлэгч,"800,000 - 1,000,000"
4938,Борлуулалтын мэргэжилтэн,"1,800,000 - 2,100,000"
4939,Туслах тогооч,"1,000,000 - 1,200,000"
4940,Үйл ажиллагаа хариуцсан захирал,"3,000,000 - 4,000,000"
4941,Гадаад харилцаа санхүү бүртгэлийн ажилтан,"1,500,000 - 1,800,000"
4942,Эрүүл мэндийн даатгал хариуцсан их эмч,"800,000 - 1,000,000"
4943,Хүний нөөцийн ажилтан,"1,800,000 - 2,100,000 Тохиролцоно"
4944,Хүний нөөцийн ажилтан,"1,800,000 - 2,100,000 Тохиролцоно"
4945,БАРИЛГЫН ТАЛБАЙН ИНЖЕНЕР,"1,800,000 - 2,100,000 Тохиролцоно"
4946,БАРИЛГЫН ТУСЛАХ /ШТС -ийн барилга барих/,"1,200,000 - 1,500,000"
4947,Bakery-д туслах ажилтан,"1,000,000 - 1,200,000 Тохиролцоно"
4948,ТУЗ-ийн нарийн бичгийн дарга,"3,000,000 - 4,000,000"
4949,Маркетингийн менежер,"1,500,000 - 1,800,000 Тохиролцоно"
4950,БОРЛУУЛАЛТЫН МЕНЕЖЕР/Орон нутгийн бүс хариуцсан/,"2,100,000 - 2,500,000"
4951,Ашиглалтын мэргэжилтэн /цахилгаанчин/,"1,500,000 - 1,800,000"
4952,Талбайн хяналтын инженер,"2,100,000 - 2,500,000 Тохиролцоно"
4953,ЗЭЭЛИЙН МЭРГЭЖИЛТЭН,"1,800,000 - 2,100,000"
4954,Дотоод хяналтын ахлах менежер,"2,500,000 - 3,000,000"
4955,Эрсдэлийн удирдлагын ахлах менежер,"2,500,000 - 3,000,000"
4956,Дижитал зээлийн ажилтан,"1,000,000 - 1,200,000"
4957,Худалдааны зөвлөх,"1,200,000 - 1,500,000"
4958,Засварын төлөвлөгч,"2,500,000 - 3,000,000 Тохиролцоно"
4959,Захиалгын менежер сургаж авна.,"1,200,000 - 1,500,000"
4960,Орлогын нярав,"1,000,000 - 1,200,000"
4961,Тооцооны нягтлан бодогч,"1,500,000 - 1,800,000"
4962,ХҮНИЙ НӨӨЦИЙН МЭРГЭЖИЛТЭН  /СОНГОН ШАЛГАРУУЛАЛТ/,"1,800,000 - 2,100,000"
4963,ХҮНИЙ НӨӨЦИЙН МЕНЕЖЕР /ХӨДӨЛМӨРИЙН ХАРИЛЦАА/,"2,100,000 - 2,500,000"
4964,ТЕХНИК ҮЙЛЧИЛГЭЭНИЙ АЖИЛТАН,"1,800,000 - 2,100,000"
4965,ТЕХНИКЧ /AUTOMOTIVE/,"1,500,000 - 1,800,000 Тохиролцоно"
4966,Супервайзор,"1,500,000 - 1,800,000"
4967,Software Developer,"2,100,000 - 2,500,000 Тохиролцоно"
4968,Эм зүйч менежер,"2,100,000 - 2,500,000 Тохиролцоно"
4969,ХУУЛИЙН ЗӨВЛӨХ - ТУСГАЙ АКТИВЫН АЖИЛТАН,"1,200,000 - 1,500,000 Тохиролцоно"
4970,ХҮНИЙ НӨӨЦИЙН МЕНЕЖЕР,"1,800,000 - 2,100,000 Тохиролцоно"
4971,Борлуулалтын зөвлөх ( Автомашины борлуулагч),"1,800,000 - 2,100,000 Тохиролцоно"
4972,ЗЭЭЛИЙН ЭДИЙН ЗАСАГЧ,"1,500,000 - 1,800,000 Тохиролцоно"
4973,ХУУЛИЙН ЗӨВЛӨХ,"2,100,000 - 2,500,000"
4974,ХҮНСНИЙ ЭРҮҮЛ АХУЙЧ,"1,800,000 - 2,100,000"
4975,Борлуулалт болон маркетингийн менежер,"1,800,000 - 2,100,000"
4976,үйлчлэгч,"1,000,000 - 1,200,000"
4977,SALES & TENDERS COORDINATOR,"1,800,000 - 2,100,000 Тохиролцоно"
4978,Талбайн инженер /барилга/,"2,100,000 - 2,500,000"
4979,Талбайн нярав,"1,200,000 - 1,500,000"
4980,"Статистикч, даатгал хариуцсан эмч","1,000,000 - 1,200,000"
4981,Худалдааны төлөөлөгч Sales representative,"2,100,000 - 2,500,000 Тохиролцоно"
4982,БАРИЛГЫН ТАЛБАЙН ИНЖЕНЕР АЖИЛД АВНА.,"1,800,000 - 2,100,000"
4983,ХАБЭА ажилтан /Өмнөговьд ростероор ажиллах/,"1,800,000 - 2,100,000"
4984,Угсралтын ажилтан,"1,200,000 - 1,500,000"
4985,Талбайн инженер,"3,000,000 - 4,000,000 Тохиролцоно"
4986,"Харилцагч, борлуулалтын менежер","1,500,000 - 1,800,000 Тохиролцоно"
4987,"Интерьер, тавилгын дизайнер","2,100,000 - 2,500,000 Тохиролцоно"
4988,Contracts Officer,"2,100,000 - 2,500,000 Тохиролцоно"
4989,Зах зээлийн шинжээч,"1,200,000 - 1,500,000"
4990,Үл Эвдэх Сорилын – Инженер,"1,500,000 - 1,800,000"
4991,Дизайнер,"2,100,000 - 2,500,000 Тохиролцоно"
4992,УГТАГЧ ажилд авна.,"1,000,000 - 1,200,000"
4993,Дээд зэргэлэлийн ресторанд Бармен ажилд авна.,"1,200,000 - 1,500,000"
4994,Зээлийн эдийн засагч,"1,500,000 - 1,800,000"
4995,ХУДАЛДААНЫ ЗӨВЛӨХ,"1,500,000 - 1,800,000"
4996,Борлуулагч Дархан-Уул аймагт,"1,800,000 - 2,100,000"
4997,Хүний нөөцийн мэргэжилтэн,"1,800,000 - 2,100,000"
4998,ЗАХИРЛЫН ТУСЛАХ,"1,500,000 - 1,800,000"
4999,ЗАХИРЛЫН ТУСЛАХ /АНГЛИ ХЭЛТЭЙ/,"1,800,000 - 2,100,000 Тохиролцоно"
5000,ГЭРЭЭНИЙ ЭРХ ЗҮЙ ХАРИУЦСАН МЭРГЭЖИЛТЭН,"1,500,000 - 1,800,000"
5001,БАРАА МАТЕРИАЛЫН НЯРАВ,"1,500,000 - 1,800,000"
5002,IT инженер,"1,200,000 - 1,500,000 Тохиролцоно"
5003,Лавлах төвийн Оператор,"1,200,000 - 1,500,000"
5004,Зах зээлийн эрсдэлийн шинжээч,"1,500,000 - 1,800,000"
5005,Хөрөнгийн үнэлгээчин,"2,100,000 - 2,500,000 Тохиролцоно"
5006,Дата инженер,"2,100,000 - 2,500,000 Тохиролцоно"
5007,Санхүүгийн зөвлөх/Зээлийн эдийн засагч,"1,800,000 - 2,100,000"
5008,Теллер,"1,000,000 - 1,200,000"
5009,Бичиг хэргийн ажилтан,"1,000,000 - 1,200,000 Тохиролцоно"
5010,"В,С АНГИЛАЛТАЙ ЖОЛООЧ/Гурилын үйлдвэрт/","1,200,000 - 1,500,000"
5011,АВТЫН МЕХАНИКЧ /Гурилын үйлдвэрт/,"1,200,000 - 1,500,000"
5012,БОРЛУУЛАГЧ /Эрэгтэй /барьцаа шаардана/,"1,200,000 - 1,500,000"
5013,ХАНГАМЖИЙН НЯРАВ  /Гурилын үйлдвэрт/,"1,200,000 - 1,500,000"
5014,Ахлах нягтлан бодогч,"1,500,000 - 1,800,000"
5015,Механизмын засварчин,"1,500,000 - 1,800,000"
5016,Авто жингийн оператор /пүү/,"2,100,000 - 2,500,000"
5017,Боловсрол зуучлалын мэргэжилтэн,"1,200,000 - 1,500,000"
5018,Солонгос хэлний үндсэн багш,"1,200,000 - 1,500,000"
5019,ҮЙЛЧИЛГЭЭНИЙ АХЛАХ АЖИЛТАН 15/15,"1,200,000 - 1,500,000 Тохиролцоно"
5020,Recruiter,"1,800,000 - 2,100,000"
5021,ХАБЭА-н мэргэжилтэн,"2,100,000 - 2,500,000"
5022,"Бизнес хөгжил, төслийн менежер","2,100,000 - 2,500,000"
5023,Зочид буудлын нягтлан бодогч (UB Office),"1,000,000 - 1,200,000"
5024,Борлуулалтын жолооч,"1,200,000 - 1,500,000"
5025,"Бизнес хөгжил, Маркетингийн албаны дарга","2,100,000 - 2,500,000"
5026,Нягтлан бодогч ажилд авна,"1,000,000 - 1,200,000"
5027,Үйл ажиллагааны менежер,"1,500,000 - 1,800,000"
5028,График дизайнер,"1,500,000 - 1,800,000"
5029,Харилцагчийн зөвлөх /оператор/,"1,000,000 - 1,200,000"
5030,ХАБЭА-н хяналтын инженер,"1,800,000 - 2,100,000"
5031,Барилгын чанарын хяналтын инженер,"2,100,000 - 2,500,000"
5032,"Захиргаа, Хүний нөөцийн менежер","1,500,000 - 1,800,000"
5033,САЛБАРЫН МЕНЕЖЕР-/М Март сүлжээ дэлгүүр/,"1,500,000 - 1,800,000"
5034,Хуулийн зөвлөх,"1,500,000 - 1,800,000"
5035,Үйлчилгээний ажилтан /автобусны дотор тал угаах/,"1,000,000 - 1,200,000"
5036,Бараа түгээлтийн ажилтан- СОНСГОЛОНД,"1,500,000 - 1,800,000"
5037,Борлуулалтын менежер,"1,500,000 - 1,800,000 Тохиролцоно"
5038,Мерчиндайзер,"1,200,000 - 1,500,000"
5039,Агрономич,"1,500,000 - 1,800,000"
5040,"Хүний нөөцийн менежер, бичиг хэргийн ажилтан","1,200,000 - 1,500,000"
5041,Геологич,"1,500,000 - 1,800,000 Тохиролцоно"
5042,Хятад хэлтэй гадаад харилцааны менежер ажилд авна,"3,000,000 - 4,000,000"
5043,Талбайн инженер,"2,500,000 - 3,000,000"
5044,Зохион бүтээгч-технологч,"1,200,000 - 1,500,000"
5045,Үйлдвэрийн ахлах ажилтан,"1,800,000 - 2,100,000 Тохиролцоно"
5046,Кэмпийн эмч,"2,100,000 - 2,500,000"
5047,МЕРЧЕНДАЙЗЕР,"2,500,000 - 3,000,000 Тохиролцоно"
5048,Тогооч ажилд авна,"1,200,000 - 1,500,000"
5049,Хүргэлтийн ажилтан,"1,800,000 - 2,100,000"
5050,"СЭТГҮҮЛЧ, ХЭВЛЭЛ МЭДЭЭЛЛИЙН АЖИЛТАН", Тохиролцоно
5051,Бариста сургаж авна. /ШАНГРИЛАД/,"1,200,000 - 1,500,000"
5052,Ээлжийн худалдагч,"1,200,000 - 1,500,000"
5053,Арбитрын нарийн бичгийн дарга,"1,000,000 - 1,200,000"
5054,Авлагын нягтлан бодогч,"1,500,000 - 1,800,000"
5055,Борлуулалтын ажилтан,"1,500,000 - 1,800,000"
5056,Арбитрын хуулийн мэргэжилтэн,"1,000,000 - 1,200,000"
5057,Борлуулалтын менежер,"1,000,000 - 1,200,000 Тохиролцоно"
5058,Худалдааны зөвлөх/ эрэгтэй/,"1,500,000 - 1,800,000"
5059,АХЛАХ НЯГТЛАН БОДОГЧ  АЖИЛД УРЬЖ БАЙНА,"2,100,000 - 2,500,000"
5060,Бараа өрөлтийн ажилтан,"1,000,000 - 1,200,000"
5061,Механик засварчин,"1,800,000 - 2,100,000"
5062,Зах зээл хариуцсан менежер /Англи эсвэл Солонгос/,"1,800,000 - 2,100,000"
5063,Цахилгаанчин (Монкон Констракшн ХХК),"1,800,000 - 2,100,000"
5064,Борлуулалтын нягтлан бодогч /Монкон Констракшн ХХК, Тохиролцоно
5065,ХАБЭА-ы зөвлөх,"2,100,000 - 2,500,000"
5066,Хангамжийн нярав ажилд авна.,"1,200,000 - 1,500,000"
5067,Бараа өрөлтийн ажилтан,"1,000,000 - 1,200,000"
5068,Ашиглалтын инженер,"1,800,000 - 2,100,000"
5069,Агуулахын менежер,"1,800,000 - 2,100,000 Тохиролцоно"
5070,ЕРӨНХИЙ МЕХАНИК,"2,500,000 - 3,000,000"
5071,Хэмжүүрийн техникч- Автоматжуулалт УБ-СХД,"1,200,000 - 1,500,000"
5072,Химич,"1,200,000 - 1,500,000"
5073,Хэвлэл хариуцсан ажилтан,"1,000,000 - 1,200,000 Тохиролцоно"
5074,ТООЦООНЫ НЯГТЛАН БОДОГЧ,"1,500,000 - 1,800,000"
5075,Агуулахын нярав ажилд авна,"1,000,000 - 1,200,000"
5076,Үйлчлэгч,"600,000 - 800,000"
5077,НҮҮР АМНЫ ЭМЧ,"1,800,000 - 2,100,000"
5078,МЭС ЗАСЛЫН ЭМЧ,"2,100,000 - 2,500,000 Тохиролцоно"
5079,Дизайнер /тавилга/,"1,200,000 - 1,500,000"
5080,Борлуулалтын менежер,"1,200,000 - 1,500,000"
5081,Хуульч,"2,500,000 - 3,000,000 Тохиролцоно"
5082,"Ачигч, туслах ажилтан авна.","1,000,000 - 1,200,000"
5083,Худалдааны зөвлөх,"800,000 - 1,000,000"
5084,Касс ажилд авна,"1,000,000 - 1,200,000"
5085,Хүргэлтийн жолооч,"1,200,000 - 1,500,000"
5086,Захиалга бэлтгэгч /ТЭЦ 4/,"1,200,000 - 1,500,000"
5087,Үйлдвэрлэлийн албаны инженер,"4,000,000 - 5,000,000"
5088,Автын цахилгаанчин,"1,800,000 - 2,100,000"
5089,Лабораторийн их эмч,"1,200,000 - 1,500,000"
5090,Лабораторийн их эмч,"1,200,000 - 1,500,000"
5091,Төслийн борлуулалтын менежер сургаж ажилд авна.,"1,500,000 - 1,800,000"
5092,Герман/англи хэлтэй мэргэжилтэй,"2,500,000 - 3,000,000"
5093,"ЗАЙРМАГНЫ ХУДАЛДАГЧ, БАРИСТА","1,000,000 - 1,200,000 Тохиролцоно"
5094,Экскаваторын оператор,"2,100,000 - 2,500,000"
5095,АЧИГЧИЙН ОПЕРАТОР,"1,800,000 - 2,100,000"
5096,Маркетингийн менежер,"2,100,000 - 2,500,000 Тохиролцоно"
5097,Ахлах нягтлан бодогч,"2,100,000 - 2,500,000 Тохиролцоно"
5098,ХУДАЛДААНЫ ЗӨВЛӨХ АЖИЛД АВНА / ЭЛЕКТРОН БАРАА /,"1,200,000 - 1,500,000"
5099,Засварчин,"2,100,000 - 2,500,000"
5100,"Захиргаа, хүний нөөцийн мэргэжилтэн","1,500,000 - 1,800,000"
5101,НЯРАВ /БЭЛЭН БҮТЭЭГДЭХҮҮН ХАРИУЦСАН/,"1,000,000 - 1,200,000"
5102,Хүний нөөц/дадлагын оюутан/,"400,000 - 600,000 Тохиролцоно"
5103,Тооцооны нягтлан,"1,200,000 - 1,500,000 Тохиролцоно"
5104,Туслах сувилагч авна,"800,000 - 1,000,000"
5105,"""ХҮНИЙ НӨӨЦИЙН МЕНЕЖЕР"" сонгон шалгаруулалт","1,500,000 - 1,800,000"
5106,ШАЛГАХ МЕХАНИК,"1,500,000 - 1,800,000"
5107,Бульдозерын оператор /CAT-D9R/,"2,100,000 - 2,500,000"
5108,Гадаад харилцааны ажилтан Англи хэлтэй,"1,200,000 - 1,500,000"
5109,ТЕХНОЛОГИЧ- ТУРК ХЭЛТЭЙ,"1,800,000 - 2,100,000"
5110,Бага эмч /эрүүл ахуйч,"1,500,000 - 1,800,000"
5111,Тогооч,"1,200,000 - 1,500,000"
5112,Мэдээлэл Технологийн Ажилтан ( IT- officer),"1,500,000 - 1,800,000"
5113,Ахлах нягтлан бодогч,"2,100,000 - 2,500,000"
5114,ХҮНИЙ НӨӨЦИЙН МЕНЕЖЕР,"1,800,000 - 2,100,000"
5115,Service Associate – Procurement,"1,800,000 - 2,100,000"
5116,Сошиал маркетингийн менежер,"1,200,000 - 1,500,000"
5117,Accounts Payable/ Өглөгийн нягтлан бодогч,"2,100,000 - 2,500,000"
5118,"Зураач, Аниматор","800,000 - 1,000,000"
5119,Захиргааны ажилтан,"2,500,000 - 3,000,000"
5120,Нярав,"1,200,000 - 1,500,000"
5121,ТООЦООНЫ НЯГТЛАН БОДОГЧ,"1,200,000 - 1,500,000"
5122,Оффис менежер / Захиргааны ажилтан,"1,200,000 - 1,500,000"
5123,Автобус угаагч ажилд авна.,"1,000,000 - 1,200,000"
5124,Уурхайчин,"1,000,000 - 1,200,000"
5125,Дизайнер,"1,500,000 - 1,800,000"
5126,Брэнд менежэр,"1,500,000 - 1,800,000"
5127,ТОНОГ ТӨХӨӨРӨМЖИЙН ИНЖЕНЕР,"1,500,000 - 1,800,000"
5128,ЦАХИЛГААНЧИН АЖИЛД АВНА,"1,200,000 - 1,500,000"
5129,Гагнуурчин,"2,500,000 - 3,000,000"
5130,ГАДААД ХУДАЛДААНЫ МЕНЕЖЕР,"1,500,000 - 1,800,000"
5131,Хөдөлмөрийн эрүүл ахуйч,"2,100,000 - 2,500,000"
5132,Байгаль орчины зохицуулагч,"2,500,000 - 3,000,000"
5133,Чанарын менежмент системийн мэргэжилтэн,"2,100,000 - 2,500,000"
5134,Худалдааны зөвлөх  ажилд авна,"1,200,000 - 1,500,000"
5135,Төсөл тендерийн инженер (Монкон Констракшн ХХК),"2,100,000 - 2,500,000"
5136,"Нярав, диспетчер","2,100,000 - 2,500,000"
5137,Тооцооны нягтлан бодогч-Ахуйн гоо сайхны бараа,"1,800,000 - 2,100,000"
5138,Барилгын талбайн инженер,"1,800,000 - 2,100,000"
5139,ЭМ ЗҮЙЧ,"1,200,000 - 1,500,000"
5140,РЕСЕПШН,"1,200,000 - 1,500,000"
5141,Захирлын жолооч,"1,000,000 - 1,200,000 Тохиролцоно"
5142,Өндрийн цахилгаанчин,"1,800,000 - 2,100,000"
5143,НЯГТЛАН БОДОГЧ /Шинэ төгсөгч байж болно/,"1,200,000 - 1,500,000 Тохиролцоно"
5144,"ХАЛААЛТ, АГААР СЭЛГЭЛТИЙН ИНЖЕНЕР","1,200,000 - 1,500,000"
5145,ХУДАЛДААНЫ ТӨЛӨӨЛӨГЧ (Сургаж ажилд авна),"1,500,000 - 1,800,000"
5146,Нягтлан бодогч,"1,500,000 - 1,800,000"
5147,Санхүүгийн мэргэжилтэн,"1,800,000 - 2,100,000 Тохиролцоно"
5148,Хүнсний үйлдвэрийн технологийн ажилтан,"1,500,000 - 1,800,000"
5149,"Ресепшин, касс ажилд авна","1,000,000 - 1,200,000"
5150,Бүтэн цагийн оёдолчин,"1,200,000 - 1,500,000"
5151,Хамгаалалтын ажилтан,"1,000,000 - 1,200,000 Тохиролцоно"
5152,УГААГЧ (УБ хотод),"1,000,000 - 1,200,000 Тохиролцоно"
5153,Нярав / Барилга/,"1,200,000 - 1,500,000"
5154,НЯГТЛАН БОДОГЧ,"2,500,000 - 3,000,000"
5155,Нягтлан бодогч,"1,500,000 - 1,800,000 Тохиролцоно"
5156,АЛБАН ХЭРЭГ ХӨТЛӨЛТИЙН МЕНЕЖЕР,"1,200,000 - 1,500,000"
5157,Тооцооны нягтлан бодогч,"1,000,000 - 1,200,000"
5158,Туслах нягтлан бодогч,"1,200,000 - 1,500,000"
5159,Online hudaldaanii delguuriin back office,"1,200,000 - 1,500,000"
5160,ГЭРЭЭТ АЖИЛТАН, Тохиролцоно
5161,ПРОГРАМ ХӨГЖҮҮЛЭГЧ /Монгол контент/, Тохиролцоно
5162,ХАРИЛЦАГЧ ХАРИУЦСАН МЕНЕЖЕР, Тохиролцоно
5163,СИСТЕМ ИНЖЕНЕР /Монгол Контент ХХК/, Тохиролцоно
5164,Эмч,"1,000,000 - 1,200,000"
5165,Тоног төхөөрөжийн засварчин/Туршлага шаардахгүй/,"1,200,000 - 1,500,000"
5166,Чанарын менежер,"1,200,000 - 1,500,000"
5167,МАРКЕТИНГ БОРЛУУЛАЛТЫН МЭРГЭЖИЛТЭН,"1,500,000 - 1,800,000"
5168,Япон рестораны зөөгч,"1,000,000 - 1,200,000"
5169,Нярав,"1,200,000 - 1,500,000"
5170,Хувийн банкны орлогч захирал,"3,000,000 - 4,000,000 Тохиролцоно"
5171,Хувийн банкны захирал,"3,000,000 - 4,000,000 Тохиролцоно"
5172,СЭЛБЭГИЙН АЖИЛТАН,"2,100,000 - 2,500,000 Тохиролцоно"
5173,Video Editor,"1,200,000 - 1,500,000 Тохиролцоно"
5174,"Борлуулалт, зуучлалын менежер (Солонгос хэлтэй)","1,800,000 - 2,100,000 Тохиролцоно"
5175,Project manager /Kontent & Website/,"1,800,000 - 2,100,000"
5176,Дадлагын ажилтан / Бүтэн цагийн & Хагас цагийн/,"400,000 - 600,000 Тохиролцоно"
5177,CLARINS SKIN SPA ГОО САЙХАНЧ АЖИЛД АВНА,"2,100,000 - 2,500,000"
5178,ХУДАЛДААНЫ ЗӨВЛӨХ-ГОО САЙХАН,"1,200,000 - 1,500,000"
5179,БРЕНДИЙН ТАСАГТ КАСС,"1,200,000 - 1,500,000"
5180,Өрөө үйлчилгээний ажилтан,"800,000 - 1,000,000"
5181,САНХҮҮГИЙН ШИНЖЭЭЧ,"2,100,000 - 2,500,000"
5182,МАРКЕТИНГ ШИНЖИЛГЭЭ СУДАЛГААНЫ МЭРГЭЖИЛТЭН, Тохиролцоно
