,job_title,salary
121,ТЭЭВРИЙН МЕНЕЖЕР,"1,800,000 - 2,100,000"
122,Худалдааны төлөөлөгч,"1,500,000 - 1,800,000 Тохиролцоно"
123,Хөргөлтийн машинист,"1,200,000 - 1,500,000"
124,Сантехникч,"1,500,000 - 1,800,000"
125,Борлуулалтын бүс хариуцсан менежер,"2,100,000 - 2,500,000"
126,Үйл ажиллагааны аудитор,"1,800,000 - 2,100,000"
127,НЯГТЛАН БОДОГЧ (ББСБ),"1,800,000 - 2,100,000"
128,Гадаад худалдан авалтын менежер,"2,100,000 - 2,500,000"
129,ЕРӨНХИЙ НЯГТЛАН БОДОГЧ,"2,500,000 - 3,000,000"
130,Автомашин борлуулалтын албаны менежер,"3,000,000 - 4,000,000"
131,Захирлын туслах/ захиргааны менежер,"1,500,000 - 1,800,000"
132,"ЭМ ЗҮЙЧ, ЭМ НАЙРУУЛАГЧ  /ЖОР БАРИГЧ/","1,200,000 - 1,500,000"
133,Нягтлан бодогч,"1,800,000 - 2,100,000"
134,Дотоод аудитор,"1,800,000 - 2,100,000"
135,МАРКЕТИНГИЙН МЭРГЭЖИЛТЭН | Төслийн Маркетер,"1,500,000 - 1,800,000 Тохиролцоно"
136,МЕРЧАНТ МЕНЕЖЕР,"1,500,000 - 1,800,000"
137,Европ хоолны Тогооч,"1,500,000 - 1,800,000"
138,МАРКЕТИНГИЙН АХЛАХ МЕНЕЖЕР | Төсөл Ахлах Маркетер,"2,500,000 - 3,000,000"
139,БҮТЭЭГДЭХҮҮН ХӨГЖҮҮЛЭЛТИЙН МЕНЕЖЕР,"2,500,000 - 3,000,000"
140,Түгээгч,"1,200,000 - 1,500,000"
141,"Сургалт идэвхжүүлэлт, олон нийт хариуцсан менежер","1,500,000 - 1,800,000"
142,Ресейпшн  /шинэ төгсөгч байж болно/,"1,500,000 - 1,800,000"
143,Бичиг хэргийн ажилтан,"1,800,000 - 2,100,000"
144,Лаборант,"1,800,000 - 2,100,000"
145,Үйлчилгээний ажилтан /Авто зогсоолын пост/,"1,000,000 - 1,200,000"
146,Кемпийн харуул,"800,000 - 1,000,000"
147,Төслийн борлуулалтын менежер,"2,500,000 - 3,000,000"
